,Resting_ECG
0,-0.184
1,-0.179
2,-0.17
3,-0.163
4,-0.163
5,-0.159
6,-0.145
7,-0.138
8,-0.139
9,-0.13699999999999998
10,-0.131
11,-0.122
12,-0.12
13,-0.124
14,-0.114
15,-0.11
16,-0.11
17,-0.112
18,-0.11
19,-0.106
20,-0.101
21,-0.102
22,-0.098
23,-0.094
24,-0.096
25,-0.094
26,-0.086
27,-0.08900000000000001
28,-0.085
29,-0.083
30,-0.071
31,-0.053
32,-0.024
33,-0.009000000000000001
34,0.005
35,0.016
36,0.025
37,0.026
38,0.02
39,0.019
40,0.008
41,-0.005
42,-0.001
43,-0.004
44,-0.027000000000000003
45,-0.035
46,-0.04
47,-0.05
48,-0.073
49,-0.084
50,-0.087
51,-0.085
52,-0.087
53,-0.091
54,-0.092
55,-0.091
56,-0.085
57,-0.077
58,-0.069
59,-0.073
60,-0.069
61,-0.063
62,-0.057
63,-0.052000000000000005
64,-0.055
65,-0.051
66,-0.042
67,-0.042
68,0.01
69,0.111
70,0.17600000000000002
71,0.244
72,0.439
73,0.649
74,0.866
75,1.116
76,1.242
77,1.035
78,0.6679999999999999
79,0.14400000000000002
80,-0.248
81,-0.387
82,-0.453
83,-0.412
84,-0.309
85,-0.227
86,-0.16
87,-0.08199999999999999
88,-0.058
89,-0.067
90,-0.075
91,-0.058
92,-0.045
93,-0.048
94,-0.053
95,-0.038
96,-0.018000000000000002
97,-0.015
98,-0.022
99,-0.014
100,0.003
101,0.01
102,0.011
103,0.009000000000000001
104,0.029
105,0.039
106,0.037000000000000005
107,0.041
108,0.055
109,0.07
110,0.068
111,0.069
112,0.077
113,0.092
114,0.094
115,0.08900000000000001
116,0.098
117,0.114
118,0.123
119,0.12
120,0.121
121,0.133
122,0.141
123,0.14300000000000002
124,0.139
125,0.153
126,0.163
127,0.162
128,0.154
129,0.157
130,0.165
131,0.159
132,0.156
133,0.155
134,0.155
135,0.149
136,0.13699999999999998
137,0.129
138,0.116
139,0.105
140,0.083
141,0.059
142,0.033
143,0.008
144,-0.028
145,-0.058
146,-0.081
147,-0.108
148,-0.13699999999999998
149,-0.157
150,-0.179
151,-0.195
152,-0.209
153,-0.219
154,-0.23
155,-0.237
156,-0.24
157,-0.237
158,-0.238
159,-0.232
160,-0.226
161,-0.224
162,-0.223
163,-0.214
164,-0.202
165,-0.197
166,-0.193
167,-0.188
168,-0.177
169,-0.173
170,-0.17
171,-0.165
172,-0.159
173,-0.15
174,-0.147
175,-0.139
176,-0.136
177,-0.134
178,-0.127
179,-0.128
180,-0.121
181,-0.12
182,-0.117
183,-0.11
184,-0.111
185,-0.109
186,-0.102
187,-0.099
188,-0.094
189,-0.097
190,-0.098
191,-0.098
192,-0.095
193,-0.093
194,-0.093
195,-0.085
196,-0.071
197,-0.061
198,-0.045
199,-0.02
200,-0.004
201,0.015
202,0.024
203,0.025
204,0.023
205,0.028
206,0.026
207,0.005
208,-0.003
209,-0.003
210,-0.014
211,-0.035
212,-0.035
213,-0.037000000000000005
214,-0.049
215,-0.07200000000000001
216,-0.083
217,-0.081
218,-0.078
219,-0.08800000000000001
220,-0.091
221,-0.09
222,-0.08
223,-0.08
224,-0.07200000000000001
225,-0.07200000000000001
226,-0.066
227,-0.062
228,-0.06
229,-0.051
230,-0.042
231,-0.043
232,-0.037000000000000005
233,-0.038
234,-0.03
235,0.018000000000000002
236,0.113
237,0.163
238,0.226
239,0.425
240,0.624
241,0.843
242,1.118
243,1.25
244,1.072
245,0.7090000000000001
246,0.225
247,-0.177
248,-0.335
249,-0.418
250,-0.389
251,-0.287
252,-0.21600000000000005
253,-0.153
254,-0.084
255,-0.061
256,-0.065
257,-0.07400000000000001
258,-0.057
259,-0.051
260,-0.052000000000000005
261,-0.053
262,-0.04
263,-0.025
264,-0.017
265,-0.016
266,-0.008
267,0.009000000000000001
268,0.014
269,0.017
270,0.019
271,0.033
272,0.047
273,0.05
274,0.051
275,0.063
276,0.073
277,0.076
278,0.08199999999999999
279,0.087
280,0.1
281,0.104
282,0.107
283,0.11
284,0.12
285,0.131
286,0.133
287,0.135
288,0.14800000000000002
289,0.157
290,0.153
291,0.157
292,0.165
293,0.172
294,0.16899999999999998
295,0.16899999999999998
296,0.16899999999999998
297,0.174
298,0.166
299,0.181
300,0.205
301,0.204
302,0.181
303,0.131
304,0.125
305,0.111
306,0.133
307,0.102
308,0.095
309,0.08199999999999999
310,0.02
311,0.019
312,0.059
313,-0.036000000000000004
314,-0.034
315,-0.033
316,-0.105
317,-0.17
318,-0.21
319,-0.246
320,-0.332
321,-0.35100000000000003
322,-0.355
323,-0.292
324,-0.267
325,-0.264
326,-0.246
327,-0.26
328,-0.256
329,-0.252
330,-0.218
331,-0.2
332,-0.204
333,-0.184
334,-0.172
